Date,High,Low,Open,Close,Volume,Adj Close
23/11/2015,2095.610107,2081.389893,2089.409912,2086.590088,3587980000,2086.590088
24/11/2015,2094.120117,2070.290039,2084.419922,2089.139893,3884930000,2089.139893
25/11/2015,2093,2086.300049,2089.300049,2088.870117,2852940000,2088.870117
26/11/2015,2093,2086.300049,2089.300049,2088.870117,2852940000,2088.870117
27/11/2015,2093.290039,2084.129883,2088.820068,2090.110107,1466840000,2090.110107
28/11/2015,2093.290039,2084.129883,2088.820068,2090.110107,1466840000,2090.110107
29/11/2015,2093.290039,2084.129883,2088.820068,2090.110107,1466840000,2090.110107
30/11/2015,2093.810059,2080.409912,2090.949951,2080.409912,4275030000,2080.409912
01/12/2015,2103.370117,2082.929932,2082.929932,2102.629883,3712120000,2102.629883
02/12/2015,2104.27002,2077.110107,2101.709961,2079.51001,3950640000,2079.51001
03/12/2015,2085,2042.349976,2080.709961,2049.620117,4306490000,2049.620117
04/12/2015,2093.840088,2051.23999,2051.23999,2091.689941,4214910000,2091.689941
05/12/2015,2093.840088,2051.23999,2051.23999,2091.689941,4214910000,2091.689941
06/12/2015,2093.840088,2051.23999,2051.23999,2091.689941,4214910000,2091.689941
07/12/2015,2090.419922,2066.780029,2090.419922,2077.070068,4043820000,2077.070068
08/12/2015,2073.850098,2052.320068,2073.389893,2063.590088,4173570000,2063.590088
09/12/2015,2080.330078,2036.530029,2061.169922,2047.619995,4385250000,2047.619995
10/12/2015,2067.649902,2045.670044,2047.930054,2052.22998,3715150000,2052.22998
11/12/2015,2047.27002,2008.800049,2047.27002,2012.369995,4301060000,2012.369995
12/12/2015,2047.27002,2008.800049,2047.27002,2012.369995,4301060000,2012.369995
13/12/2015,2047.27002,2008.800049,2047.27002,2012.369995,4301060000,2012.369995
14/12/2015,2022.920044,1993.26001,2013.369995,2021.939941,4612440000,2021.939941
15/12/2015,2053.870117,2025.550049,2025.550049,2043.410034,4353540000,2043.410034
16/12/2015,2076.719971,2042.430054,2046.5,2073.070068,4635450000,2073.070068
17/12/2015,2076.370117,2041.660034,2073.76001,2041.890015,4327390000,2041.890015
18/12/2015,2040.810059,2005.329956,2040.810059,2005.550049,6683070000,2005.550049
19/12/2015,2040.810059,2005.329956,2040.810059,2005.550049,6683070000,2005.550049
20/12/2015,2040.810059,2005.329956,2040.810059,2005.550049,6683070000,2005.550049
21/12/2015,2022.900024,2005.930054,2010.27002,2021.150024,3760280000,2021.150024
22/12/2015,2042.73999,2020.48999,2023.150024,2038.969971,3520860000,2038.969971
23/12/2015,2064.72998,2042.199951,2042.199951,2064.290039,3484090000,2064.290039
24/12/2015,2067.360107,2058.72998,2063.52002,2060.98999,1411860000,2060.98999
25/12/2015,2067.360107,2058.72998,2063.52002,2060.98999,1411860000,2060.98999
26/12/2015,2067.360107,2058.72998,2063.52002,2060.98999,1411860000,2060.98999
27/12/2015,2067.360107,2058.72998,2063.52002,2060.98999,1411860000,2060.98999
28/12/2015,2057.77002,2044.199951,2057.77002,2056.5,2492510000,2056.5
29/12/2015,2081.560059,2060.540039,2060.540039,2078.360107,2542000000,2078.360107
30/12/2015,2077.340088,2061.969971,2077.340088,2063.360107,2367430000,2063.360107
31/12/2015,2062.540039,2043.619995,2060.590088,2043.939941,2655330000,2043.939941
01/01/2016,2062.540039,2043.619995,2060.590088,2043.939941,2655330000,2043.939941
02/01/2016,2062.540039,2043.619995,2060.590088,2043.939941,2655330000,2043.939941
03/01/2016,2062.540039,2043.619995,2060.590088,2043.939941,2655330000,2043.939941
04/01/2016,2038.199951,1989.680054,2038.199951,2012.660034,4304880000,2012.660034
05/01/2016,2021.939941,2004.170044,2013.780029,2016.709961,3706620000,2016.709961
06/01/2016,2011.709961,1979.050049,2011.709961,1990.26001,4336660000,1990.26001
07/01/2016,1985.319946,1938.829956,1985.319946,1943.089966,5076590000,1943.089966
08/01/2016,1960.400024,1918.459961,1945.969971,1922.030029,4664940000,1922.030029
09/01/2016,1960.400024,1918.459961,1945.969971,1922.030029,4664940000,1922.030029
10/01/2016,1960.400024,1918.459961,1945.969971,1922.030029,4664940000,1922.030029
11/01/2016,1935.650024,1901.099976,1926.119995,1923.670044,4607290000,1923.670044
12/01/2016,1947.380005,1914.349976,1927.829956,1938.680054,4887260000,1938.680054
13/01/2016,1950.329956,1886.410034,1940.339966,1890.280029,5087030000,1890.280029
14/01/2016,1934.469971,1878.930054,1891.680054,1921.839966,5241110000,1921.839966
15/01/2016,1916.680054,1857.829956,1916.680054,1880.329956,5468460000,1880.329956
16/01/2016,1916.680054,1857.829956,1916.680054,1880.329956,5468460000,1880.329956
17/01/2016,1916.680054,1857.829956,1916.680054,1880.329956,5468460000,1880.329956
18/01/2016,1916.680054,1857.829956,1916.680054,1880.329956,5468460000,1880.329956
19/01/2016,1901.439941,1864.599976,1888.660034,1881.329956,4928350000,1881.329956
20/01/2016,1876.180054,1812.290039,1876.180054,1859.329956,6416070000,1859.329956
21/01/2016,1889.849976,1848.97998,1861.459961,1868.98999,5078810000,1868.98999
22/01/2016,1908.849976,1877.400024,1877.400024,1906.900024,4901760000,1906.900024
23/01/2016,1908.849976,1877.400024,1877.400024,1906.900024,4901760000,1906.900024
24/01/2016,1908.849976,1877.400024,1877.400024,1906.900024,4901760000,1906.900024
